asset_id,co2_tons,methane_leakage_tons,energy_consumption_mwh,date
WEL000952,3954.07,89.29,4174.62,2023-01-28
REF001984,375.98,175.55,46160.86,2019-06-17
WEL002582,4646.97,48.7,12018.34,2020-03-04
WEL002150,975.19,115.3,19794.94,2021-07-02
PIP001828,3981.91,142.15,35147.49,2019-09-09
WEL001141,1142.63,9.51,45892.26,2022-08-11
REF002284,1820.68,124.07,6822.25,2024-11-16
WEL000474,1754.29,197.09,5253.96,2018-11-01
REF001268,4739.76,33.29,148.32,2024-10-15
WEL002749,2983.76,24.14,16166.99,2022-02-19
WEL002477,4385.57,100.37,34792.18,2023-10-25
WEL000074,1597.64,14.17,14855.23,2023-05-05
REF001242,3797.84,181.21,34883.29,2024-04-27
REF002286,3626.19,162.06,45946.14,2024-07-15
WEL002062,1801.45,12.93,23213.49,2018-08-10
REF000439,3158.21,157.88,49094.83,2019-11-13
PIP000644,772.22,158.31,38677.36,2021-07-02
PIP002019,4415.6,137.8,12231.26,2021-12-11
REF001611,3740.18,52.92,49792.18,2023-04-18
REF001043,1596.45,18.14,4407.16,2019-09-13
REF000224,3978.35,5.66,19523.92,2021-08-17
REF000342,2846.44,121.04,11218.12,2020-08-03
PIP002352,1877.66,23.06,4521.52,2018-03-30
REF001810,2443.45,95.45,41625.18,2020-07-24
REF002860,4498.33,66.38,15978.31,2018-01-29
PIP002632,1057.49,71.31,29575.47,2019-08-22
PIP000242,4996.9,41.57,30010.9,2024-12-04
REF002752,3675.75,111.65,19580.77,2021-11-23
PIP000685,1200.0,199.83,5148.08,2020-10-31
REF001624,221.1,29.36,36957.9,2019-10-21
PIP000007,2251.1,49.46,27943.09,2021-06-17
WEL000112,4940.71,175.86,29740.3,2021-05-27
WEL002900,4956.45,5.9,10499.64,2020-10-19
REF002362,2094.23,117.03,14739.32,2018-08-23
PIP001301,2660.39,92.53,41014.8,2019-10-13
PIP001296,2765.35,60.75,26525.31,2019-07-07
WEL002632,112.76,49.41,44761.52,2021-04-29
REF001191,2324.11,192.89,33861.23,2022-04-18
REF001390,4172.67,47.75,49092.56,2021-12-23
WEL000694,3402.49,166.62,30687.15,2019-10-14
REF000446,4188.82,179.27,22023.64,2023-09-11
PIP001316,4850.08,191.46,26876.24,2023-12-14
REF002141,1439.2,185.02,39162.97,2018-09-06
WEL001474,1068.25,171.16,29418.58,2019-03-21
PIP002884,2532.39,110.21,13513.47,2024-03-25
PIP000800,4855.67,172.31,38601.27,2018-03-23
REF002708,4429.98,23.04,9245.21,2021-12-17
PIP000659,1779.44,65.52,399.09,2018-05-01
WEL001101,1470.04,106.62,11997.38,2022-10-05
PIP001733,275.84,57.53,19140.36,2023-03-10
REF002568,1777.38,86.19,17854.84,2019-01-16
REF002974,3501.87,87.82,9075.93,2020-09-17
WEL002350,2430.7,97.1,16118.72,2023-10-19
REF000013,1587.42,85.73,15940.79,2019-03-12
WEL002406,1497.7,193.07,3235.36,2023-07-08
PIP000130,1570.57,83.45,25357.47,2021-02-19
WEL002479,3608.69,3.41,26334.75,2019-03-04
REF002984,2458.02,46.76,26898.82,2023-04-21
WEL002089,2537.75,136.81,22711.49,2021-03-21
REF001776,2349.99,92.19,47466.18,2020-09-09
REF002123,704.06,11.52,43354.95,2023-04-13
REF000950,1241.77,66.33,17003.33,2019-02-14
PIP002960,2273.65,71.15,13720.77,2020-11-30
PIP001110,2511.21,87.66,39493.42,2021-07-27
REF002856,4137.89,186.26,22219.0,2019-04-30
PIP002698,4885.36,187.01,15932.3,2020-10-23
REF002861,2275.39,128.61,18964.52,2022-05-02
WEL002599,3797.68,68.08,7611.73,2024-03-20
REF001255,1485.47,20.52,48855.53,2022-02-07
REF002569,2247.07,64.47,19175.46,2024-03-07
PIP002043,3184.88,132.54,40425.54,2022-06-25
PIP001594,2494.46,185.38,31124.86,2021-03-27
PIP000878,1307.13,163.45,34450.48,2018-08-14
REF001929,2025.17,18.65,49570.05,2019-05-09
REF000071,4547.47,111.84,28463.39,2018-06-04
PIP000994,2750.78,15.17,37180.17,2020-04-12
WEL002360,1381.04,177.07,46877.69,2021-07-17
REF000173,752.03,149.96,42292.9,2022-07-18
WEL001394,996.03,150.68,1092.78,2018-08-19
PIP000141,1192.75,41.56,7386.83,2018-09-06
PIP000613,4493.66,34.55,41693.8,2024-10-22
PIP001381,3974.82,151.28,17475.43,2024-05-29
REF002523,1577.35,90.22,17079.45,2024-01-19
REF000533,1224.61,7.61,39259.29,2023-06-09
REF001698,807.25,156.93,41026.34,2024-03-21
REF001423,2143.26,126.2,3363.74,2021-06-25
REF000009,4012.96,90.99,17825.65,2022-04-19
REF002267,841.67,149.61,13990.16,2024-07-25
REF000498,4657.61,31.08,23134.86,2019-08-22
REF000866,2606.11,45.15,13731.58,2021-03-05
REF000699,4515.23,136.62,19386.12,2018-11-29
PIP001973,3261.82,101.41,19554.21,2024-11-21
WEL001584,1004.68,81.63,26135.22,2024-10-01
