asset_id,maintenance_date,cost_usd,failure_type,downtime_hours
WEL002457,2018-05-06,160789.56,Pump Failure,42
PIP000414,2018-04-26,47396.82,Electrical Fault,73
WEL001521,2018-01-21,51505.36,Corrosion,7
WEL002384,2023-10-08,154579.66,Pump Failure,25
PIP001377,2022-05-12,119329.89,Corrosion,53
REF000657,2020-10-13,87103.23,Overheating,76
PIP000711,2024-06-13,84259.9,Electrical Fault,20
PIP002846,2021-04-09,193574.14,Overheating,12
WEL000110,2020-04-18,98396.89,Corrosion,55
REF001541,2024-02-27,107010.47,Electrical Fault,107
PIP002853,2020-03-10,12691.59,Pump Failure,29
WEL002122,2024-06-10,48530.88,Valve Leak,84
REF000031,2018-07-05,99592.0,Valve Leak,94
WEL001030,2023-12-11,85777.41,Electrical Fault,111
PIP002373,2023-10-15,55099.14,Pump Failure,45
REF002831,2024-07-10,131881.14,Corrosion,90
REF002785,2018-08-19,47822.56,Overheating,18
PIP000742,2018-05-03,123268.51,Pump Failure,112
REF002959,2020-02-27,89386.9,Valve Leak,100
WEL002617,2020-06-19,41850.9,Pump Failure,42
WEL000449,2019-07-30,25054.72,Valve Leak,29
REF000032,2019-10-20,188577.01,Valve Leak,87
REF002810,2024-11-29,61998.32,Pump Failure,58
PIP002063,2019-07-07,79980.04,Valve Leak,81
PIP002413,2018-05-24,123407.63,Pump Failure,38
REF000216,2024-01-13,186945.19,Valve Leak,103
PIP001563,2019-02-26,195666.49,Corrosion,89
WEL001254,2023-12-25,157912.51,Valve Leak,84
REF000845,2022-09-10,177881.22,Pump Failure,56
PIP000752,2023-07-17,65050.23,Pump Failure,24
WEL000594,2024-12-29,195177.63,Overheating,29
PIP002733,2023-05-19,141333.54,Overheating,118
PIP001704,2023-10-30,185849.38,Electrical Fault,25
PIP002955,2024-09-19,29362.29,Corrosion,98
WEL001275,2024-06-06,22278.45,Electrical Fault,82
PIP000615,2021-06-17,84660.34,Corrosion,111
REF000326,2019-12-21,56401.04,Valve Leak,91
WEL001030,2021-12-16,166848.99,Electrical Fault,7
PIP002266,2020-12-11,199429.77,Pump Failure,23
WEL000202,2023-06-26,152320.07,Valve Leak,108
PIP002873,2022-02-05,146104.66,Overheating,49
PIP002727,2023-06-27,117823.41,Overheating,57
PIP000231,2022-05-20,135384.08,Overheating,103
REF000208,2018-06-21,99607.25,Valve Leak,29
PIP001987,2022-01-03,34949.09,Pump Failure,112
REF001081,2024-10-01,111538.37,Valve Leak,38
WEL001227,2018-07-09,31923.84,Electrical Fault,16
REF002113,2020-05-09,7237.27,Valve Leak,86
REF002459,2020-03-14,154302.39,Pump Failure,93
REF002157,2019-02-23,7121.79,Overheating,48
REF001741,2018-06-11,24298.32,Valve Leak,43
REF002479,2023-11-08,121230.52,Overheating,43
WEL001479,2019-08-12,42649.27,Pump Failure,92
PIP002043,2023-12-02,27104.08,Valve Leak,106
PIP002660,2021-08-30,174671.05,Electrical Fault,44
WEL002508,2023-01-25,53004.41,Electrical Fault,8
PIP001656,2022-06-19,2535.44,Overheating,118
WEL000783,2022-09-07,64898.07,Corrosion,96
WEL002594,2021-01-23,73931.32,Electrical Fault,119
REF000071,2024-04-03,108753.13,Corrosion,48
PIP002159,2023-09-21,123281.92,Electrical Fault,80
PIP002688,2018-05-27,97223.56,Corrosion,59
WEL001457,2024-10-22,190814.16,Overheating,73
PIP000020,2023-01-26,132169.78,Valve Leak,76
PIP000617,2023-06-24,84621.03,Valve Leak,70
WEL001235,2021-10-04,192680.24,Overheating,73
WEL001497,2022-10-10,170120.3,Overheating,18
WEL002192,2024-05-19,13320.89,Pump Failure,113
REF001627,2022-12-28,23401.02,Pump Failure,17
PIP001580,2018-06-12,29403.51,Overheating,6
REF002038,2023-11-08,41883.04,Pump Failure,97
PIP000829,2020-06-26,28806.31,Electrical Fault,96
PIP000317,2023-06-06,99953.53,Valve Leak,68
PIP000654,2024-09-04,82962.54,Pump Failure,109
REF002392,2018-11-07,199692.99,Pump Failure,111
PIP001794,2022-03-21,75742.97,Pump Failure,89
WEL002020,2019-01-11,3524.35,Valve Leak,98
REF002476,2021-07-21,16509.87,Pump Failure,6
WEL000759,2022-08-03,169916.9,Pump Failure,97
WEL001568,2020-10-12,122416.89,Corrosion,39
WEL002188,2019-06-28,111444.99,Valve Leak,52
PIP001211,2020-05-03,192547.69,Valve Leak,6
WEL001112,2019-04-03,197120.42,Pump Failure,84
WEL000635,2023-05-17,109958.1,Electrical Fault,110
REF001394,2018-04-19,82752.95,Electrical Fault,41
PIP001662,2024-02-23,20220.97,Pump Failure,21
WEL001704,2022-01-13,135355.2,Pump Failure,72
WEL002791,2023-09-21,2075.39,Corrosion,43
REF000036,2022-01-15,45056.91,Valve Leak,62
