well_id,date,oil_production_barrels,gas_production_mcf,water_cut_pct,pressure_psi,temperature_c
WEL002961,2024-10-15,1002,717,23.05,2723,171
WEL001966,2024-02-04,2786,18084,23.24,1383,162
WEL001312,2023-06-29,3872,11590,19.29,1343,111
WEL002619,2020-04-13,2510,17058,13.24,1205,147
WEL002290,2018-06-27,3081,5623,36.9,2207,167
WEL000298,2019-07-01,4511,19736,26.75,4772,163
WEL001058,2021-12-08,3749,3874,53.85,1532,123
WEL002769,2022-06-22,4233,16855,35.2,1552,82
WEL001718,2020-04-15,2133,9295,28.83,4828,170
WEL000240,2021-09-07,2286,12812,25.11,1577,146
WEL000071,2022-02-19,3444,17563,58.51,2340,72
WEL002990,2020-05-05,3099,6132,29.74,4297,62
WEL001061,2020-11-19,3353,6173,27.26,4421,81
WEL001100,2020-08-09,4384,2608,27.67,1674,102
WEL002740,2024-02-03,2593,2653,25.88,3401,76
WEL002943,2022-09-01,3931,5600,58.61,4746,96
WEL002716,2019-04-25,4850,13754,27.0,1224,60
WEL001760,2020-04-01,3942,19015,30.13,1776,124
WEL000504,2021-09-08,1283,9382,50.06,2756,77
WEL001709,2024-05-15,4915,14851,12.79,4793,165
WEL002987,2023-06-01,4776,17284,14.84,1787,124
WEL000892,2020-03-11,406,16752,47.6,3336,131
WEL000949,2018-11-13,3142,5334,40.19,4706,61
WEL002786,2018-06-01,1366,10525,24.34,4584,177
WEL001848,2019-05-24,3470,16675,24.87,3979,112
WEL001406,2022-11-28,942,4218,32.03,2458,66
WEL000988,2024-04-14,101,6311,17.78,4204,135
WEL000479,2024-11-02,3476,5531,35.06,1577,117
WEL001844,2024-11-29,725,2567,47.81,3914,112
WEL001126,2019-09-10,1132,4936,16.25,3488,178
WEL002889,2019-12-19,4221,2283,47.25,3681,96
WEL000919,2023-08-27,1492,18569,10.01,1667,144
WEL000110,2022-01-30,1660,4996,43.18,1671,97
WEL002763,2020-07-20,4905,3509,10.49,1683,85
WEL002132,2021-01-19,1096,14950,46.52,4986,158
WEL002838,2022-07-27,3440,16200,51.0,3783,147
WEL002274,2018-01-05,4769,15325,33.88,3624,165
WEL002104,2019-03-01,1691,14477,37.45,4633,51
WEL002881,2024-06-24,2254,12007,13.16,4380,53
WEL001097,2023-09-07,2970,8864,15.48,2611,154
WEL002044,2020-03-20,4543,7079,29.29,2556,152
WEL001307,2022-05-12,2659,937,45.23,2535,123
WEL002129,2020-04-07,1609,4225,42.04,1101,151
WEL000130,2019-03-16,1485,15571,43.67,3169,78
WEL002414,2020-08-13,243,12212,58.44,3008,106
WEL000821,2024-05-09,1901,18116,7.58,1570,55
WEL000173,2022-01-07,3440,18409,8.43,1760,146
WEL000988,2022-09-30,2001,2297,5.29,3229,62
WEL001761,2018-09-07,2720,13696,22.81,2033,129
WEL002361,2022-05-16,3813,17039,29.2,3300,99
WEL001942,2024-06-07,2694,10664,58.79,3491,135
WEL000009,2023-03-21,1464,7266,56.36,1294,120
WEL002395,2018-03-19,2602,10077,37.94,3741,105
WEL000829,2019-09-25,2430,11548,53.39,2104,134
WEL000095,2021-02-14,4111,1577,59.22,3390,134
WEL002766,2024-06-02,3626,8075,59.54,3314,154
WEL000518,2019-12-10,4435,3934,46.66,1184,135
WEL002363,2022-06-02,4348,18533,8.47,2736,143
WEL001280,2020-04-21,2200,11269,52.29,2303,107
WEL002554,2024-02-21,373,14457,28.46,4960,165
WEL001355,2021-02-12,4852,19356,46.53,1506,91
WEL001093,2024-05-27,2199,2108,38.58,1148,60
WEL002236,2021-11-07,2373,5629,54.6,3105,91
WEL000127,2024-10-01,2416,8537,40.74,1759,178
WEL002456,2018-11-11,3663,8337,12.14,3089,112
WEL000616,2024-05-09,583,4093,53.73,3643,139
WEL002623,2019-02-22,820,1897,19.53,1981,58
WEL000111,2024-02-10,408,16478,9.84,1818,135
WEL002591,2023-08-13,3682,1696,11.52,3322,153
WEL000744,2021-08-26,3467,17179,11.69,2230,116
WEL002842,2021-03-08,1419,1567,20.63,2213,52
WEL001748,2021-10-28,3947,3601,25.53,1029,59
WEL002597,2022-10-08,1514,18533,9.32,1521,148
WEL001399,2019-02-03,1166,11080,40.52,2944,130
WEL002240,2023-03-03,4664,4119,55.36,3062,95
WEL000973,2019-11-10,4215,5080,8.95,4147,135
WEL002726,2018-10-30,4294,6663,38.86,1323,169
WEL000988,2024-09-12,300,11919,44.16,4158,166
WEL002838,2019-06-09,1481,764,17.52,2430,148
WEL001891,2018-03-04,1861,3965,6.0,4220,122
WEL000465,2021-06-26,4353,18105,27.12,2358,52
WEL001401,2020-05-11,4332,7367,40.23,2783,65
WEL002707,2022-09-22,1919,2015,27.45,4094,83
WEL000598,2024-09-23,4859,14786,6.37,3558,102
WEL002074,2020-01-09,886,12864,25.92,1710,102
WEL000121,2020-09-03,480,18082,25.09,4539,119
WEL001646,2018-08-15,2760,5649,51.38,4720,140
WEL001735,2021-11-13,3184,5575,52.31,2422,165
WEL001003,2022-11-10,1960,17939,40.92,2593,74
WEL001693,2022-06-15,2514,1689,58.29,2124,107
WEL002922,2021-12-15,920,4688,36.47,4929,141
WEL001956,2018-08-24,3029,1235,52.54,3116,60
WEL001898,2023-06-11,3337,10597,55.33,1129,123
WEL002522,2024-06-09,1511,725,6.93,2501,144
WEL001276,2022-01-09,850,16494,37.13,2179,105
WEL001810,2023-05-14,2891,2946,49.78,1051,101
WEL002698,2022-10-17,3214,19883,42.92,2338,142
WEL001221,2023-07-18,4470,9639,20.78,1329,89
WEL001023,2022-01-07,1227,18831,49.69,2680,134
WEL002057,2022-03-01,1581,19698,6.43,2075,145
WEL000496,2018-09-07,481,6692,45.55,3461,174
WEL000520,2022-03-31,3465,18543,21.14,3360,104
WEL002570,2024-03-08,4807,11391,44.23,4706,91
WEL002596,2022-09-01,4486,3304,49.07,2618,163
WEL001635,2020-06-06,3167,5049,8.33,3093,66
WEL000803,2020-02-16,3429,6626,21.41,2383,75
WEL002312,2018-11-05,2577,17086,25.4,1233,136
WEL000287,2020-10-12,3397,18978,20.35,3250,117
WEL002949,2023-03-09,2947,9942,7.85,3476,175
WEL002249,2020-05-07,4053,6323,59.77,3785,87
WEL001528,2021-07-20,1532,5047,16.36,4659,52
WEL001089,2021-08-30,3197,11866,20.98,4554,162
WEL000094,2021-07-27,4893,1266,6.97,3142,134
WEL002376,2023-01-10,4907,17226,25.54,1594,117
WEL002045,2022-08-07,4729,17376,14.2,2007,88
WEL001796,2018-11-06,3274,3275,51.31,4762,73
